                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5228,                0.81959,                 1.1272,                0.78229,                0.44779,                0.54135,                0.30067,                 1.4472,                0.73866,                 1.0728,               0.067037,             0.00033296,             0.00033296
                      2,                 1.4999,                0.80503,                 1.1171,                0.77983,                0.45014,                 0.5377,                0.29762,                 1.4429,                0.73679,                 1.0719,               0.034037,             0.00066622,             0.00066622
                      3,                 1.4961,                0.80194,                 1.1151,                0.78701,                 0.4498,                0.53992,                0.29747,                 1.4521,                0.75023,                 1.0731,              0.0010362,              0.0009992,              0.0009992
                      4,                 1.4962,                0.80377,                 1.1134,                0.77727,                0.44948,                0.53877,                0.29859,                 1.4466,                0.73854,                 1.0711,             0.00099902,             0.00099902,             0.00099902
                      5,                 1.4967,                0.80338,                 1.1108,                0.78511,                0.45218,                0.54147,                0.29996,                 1.4433,                 0.7351,                 1.0689,             0.00099826,             0.00099826,             0.00099826
                      6,                  1.496,                0.80292,                 1.1111,                0.78136,                0.45774,                0.54293,                0.29995,                  1.442,                0.74113,                 1.0692,             0.00099729,             0.00099729,             0.00099729
                      7,                 1.4892,                0.80058,                   1.11,                0.78062,                0.45683,                0.54332,                0.30098,                 1.4379,                0.73667,                 1.0695,              0.0009961,              0.0009961,              0.0009961
                      8,                 1.4895,                0.80055,                 1.1098,                0.78056,                0.45765,                0.54458,                0.30185,                   1.44,                0.73298,                 1.0696,             0.00099469,             0.00099469,             0.00099469
                      9,                 1.4868,                0.79733,                 1.1087,                0.78317,                0.45511,                0.54429,                0.30254,                 1.4354,                0.73166,                 1.0667,             0.00099307,             0.00099307,             0.00099307
                     10,                 1.4772,                0.79559,                 1.1058,                0.78449,                0.45922,                0.54423,                0.30187,                 1.4351,                0.73449,                 1.0678,             0.00099123,             0.00099123,             0.00099123
                     11,                 1.4811,                0.79675,                 1.1061,                0.77532,                0.46077,                0.54645,                0.30232,                 1.4362,                0.73594,                 1.0678,             0.00098918,             0.00098918,             0.00098918
                     12,                 1.4828,                0.79801,                 1.1068,                0.78201,                0.46073,                0.54706,                0.30376,                 1.4327,                0.73386,                 1.0658,             0.00098692,             0.00098692,             0.00098692
                     13,                 1.4806,                0.79606,                  1.106,                0.78165,                0.45855,                0.54809,                0.30457,                  1.435,                 0.7305,                 1.0668,             0.00098445,             0.00098445,             0.00098445
                     14,                 1.4768,                0.79476,                 1.1059,                0.78679,                0.45671,                0.54589,                0.30422,                 1.4321,                0.73041,                 1.0643,             0.00098177,             0.00098177,             0.00098177
