                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 1.4791,                0.79386,                 1.1038,                0.78525,                0.45839,                0.54671,                0.30367,                 1.4269,                0.73219,                 1.0644,             0.00097887,             0.00097887,             0.00097887
                     16,                 1.4731,                0.79106,                 1.1034,                0.78673,                0.46046,                0.54737,                0.30483,                 1.4277,                0.73049,                 1.0649,             0.00097577,             0.00097577,             0.00097577
                     17,                 1.4739,                0.79248,                  1.105,                0.78272,                0.45949,                0.55057,                0.30605,                   1.43,                0.73019,                 1.0658,             0.00097247,             0.00097247,             0.00097247
                     18,                 1.4753,                0.79299,                 1.1026,                0.78387,                0.46299,                0.54987,                0.30548,                 1.4284,                0.72896,                 1.0627,             0.00096895,             0.00096895,             0.00096895
                     19,                 1.4764,                 0.7953,                 1.1047,                0.78706,                 0.4623,                0.55057,                0.30702,                 1.4268,                0.72873,                 1.0633,             0.00096524,             0.00096524,             0.00096524
                     20,                 1.4726,                0.79087,                 1.1019,                0.78487,                 0.4623,                0.55151,                0.30664,                 1.4271,                0.72664,                  1.063,             0.00096132,             0.00096132,             0.00096132
                     21,                 1.4726,                0.79272,                 1.1032,                0.78438,                 0.4638,                0.55085,                0.30689,                 1.4235,                0.72702,                 1.0613,             0.00095721,             0.00095721,             0.00095721
                     22,                 1.4732,                0.79044,                 1.1008,                0.78414,                0.46354,                0.55185,                0.30672,                  1.428,                0.72972,                 1.0627,             0.00095289,             0.00095289,             0.00095289
                     23,                 1.4752,                0.79162,                 1.1014,                0.78428,                0.46318,                0.55089,                0.30746,                 1.4225,                0.72584,                 1.0625,             0.00094838,             0.00094838,             0.00094838
                     24,                 1.4694,                0.78977,                 1.1028,                0.78592,                0.46321,                 0.5496,                0.30697,                 1.4198,                0.72566,                 1.0612,             0.00094367,             0.00094367,             0.00094367
                     25,                  1.474,                 0.7905,                 1.1008,                0.78443,                0.46372,                0.55107,                0.30775,                 1.4205,                 0.7285,                 1.0594,             0.00093877,             0.00093877,             0.00093877
                     26,                  1.468,                0.78823,                 1.1003,                0.78313,                0.46433,                0.55215,                0.30795,                 1.4184,                0.72542,                 1.0606,             0.00093368,             0.00093368,             0.00093368
                     27,                 1.4639,                0.78709,                 1.1005,                0.78524,                0.46608,                0.55337,                0.30863,                  1.419,                0.72426,                 1.0616,             0.00092841,             0.00092841,             0.00092841
                     28,                 1.4688,                0.78772,                 1.1019,                  0.785,                0.46487,                0.55427,                0.30939,                 1.4202,                0.72489,                 1.0607,             0.00092294,             0.00092294,             0.00092294
                     29,                  1.466,                0.78862,                 1.1007,                0.78457,                0.46674,                0.55393,                0.30886,                 1.4187,                0.72438,                 1.0617,              0.0009173,              0.0009173,              0.0009173
                     30,                 1.4653,                0.78762,                 1.1002,                0.78556,                0.46564,                0.55343,                0.30881,                  1.418,                 0.7258,                 1.0606,             0.00091147,             0.00091147,             0.00091147
                     31,                 1.4612,                0.78743,                 1.1002,                 0.7897,                0.46526,                0.55502,                0.31004,                 1.4166,                0.72195,                 1.0602,             0.00090546,             0.00090546,             0.00090546
                     32,                 1.4659,                0.78673,                 1.0982,                0.78792,                0.46583,                0.55564,                0.31084,                 1.4154,                0.72123,                 1.0588,             0.00089928,             0.00089928,             0.00089928
                     33,                 1.4598,                0.78623,                 1.0998,                0.78999,                0.46561,                0.55521,                0.31056,                 1.4145,                0.72135,                 1.0584,             0.00089293,             0.00089293,             0.00089293
                     34,                 1.4653,                0.78611,                 1.0981,                0.78699,                0.46768,                0.55621,                0.31071,                 1.4145,                0.72138,                 1.0577,              0.0008864,              0.0008864,              0.0008864
                     35,                 1.4667,                0.78778,                 1.1001,                0.78624,                0.46695,                0.55566,                0.31088,                 1.4142,                0.72104,                 1.0581,             0.00087971,             0.00087971,             0.00087971
                     36,                 1.4612,                0.78565,                 1.1003,                0.78682,                0.46884,                0.55544,                0.31033,                 1.4125,                0.72098,                 1.0581,             0.00087286,             0.00087286,             0.00087286
                     37,                 1.4646,                0.78491,                 1.0959,                0.78918,                 0.4669,                0.55608,                 0.3114,                 1.4127,                0.71956,                 1.0583,             0.00086584,             0.00086584,             0.00086584
                     38,                 1.4597,                0.78531,                 1.0983,                0.79014,                0.46709,                0.55607,                0.31099,                  1.413,                0.71996,                 1.0586,             0.00085866,             0.00085866,             0.00085866
                     39,                 1.4599,                0.78264,                 1.0971,                0.79002,                0.46701,                 0.5568,                0.31171,                 1.4116,                0.71896,                 1.0578,             0.00085133,             0.00085133,             0.00085133
                     40,                 1.4605,                0.78486,                 1.0963,                0.78776,                0.46788,                 0.5572,                0.31155,                 1.4124,                0.71893,                 1.0577,             0.00084385,             0.00084385,             0.00084385
                     41,                 1.4597,                0.78359,                 1.0973,                0.78956,                0.46752,                0.55725,                0.31193,                 1.4107,                0.71741,                 1.0576,             0.00083622,             0.00083622,             0.00083622
                     42,                 1.4525,                0.78058,                 1.0954,                0.79094,                0.46744,                 0.5578,                0.31247,                 1.4096,                0.71769,                 1.0572,             0.00082844,             0.00082844,             0.00082844
                     43,                 1.4546,                0.78202,                  1.095,                0.78908,                0.46933,                0.55852,                0.31287,                 1.4085,                0.71671,                 1.0566,             0.00082052,             0.00082052,             0.00082052
                     44,                 1.4593,                0.78188,                 1.0966,                0.79105,                0.46869,                0.55811,                0.31275,                 1.4085,                0.71687,                 1.0568,             0.00081247,             0.00081247,             0.00081247
                     45,                  1.456,                0.78258,                 1.0953,                0.79203,                0.46844,                0.55841,                0.31312,                 1.4096,                0.71674,                 1.0571,             0.00080428,             0.00080428,             0.00080428
                     46,                 1.4576,                0.78029,                 1.0944,                0.79049,                0.46939,                0.55895,                0.31341,                 1.4086,                0.71642,                 1.0568,             0.00079595,             0.00079595,             0.00079595
                     47,                 1.4532,                0.77946,                 1.0951,                 0.7884,                0.46985,                0.55874,                0.31357,                 1.4072,                0.71635,                 1.0566,              0.0007875,              0.0007875,              0.0007875
                     48,                  1.453,                0.77969,                 1.0939,                0.78909,                0.47029,                0.55913,                0.31359,                 1.4075,                0.71542,                 1.0563,             0.00077893,             0.00077893,             0.00077893
                     49,                 1.4574,                0.78164,                 1.0959,                 0.7888,                0.47071,                0.55959,                0.31384,                  1.407,                0.71586,                 1.0561,             0.00077023,             0.00077023,             0.00077023
                     50,                 1.4486,                0.77637,                 1.0939,                0.78873,                0.47086,                0.55955,                0.31397,                 1.4066,                0.71499,                  1.056,             0.00076142,             0.00076142,             0.00076142
                     51,                 1.4552,                0.77903,                  1.095,                0.78832,                0.47118,                0.55958,                0.31412,                 1.4062,                0.71513,                 1.0558,              0.0007525,              0.0007525,              0.0007525
                     52,                 1.4542,                0.78071,                 1.0955,                0.79118,                0.47044,                0.55984,                0.31427,                 1.4053,                0.71473,                 1.0553,             0.00074347,             0.00074347,             0.00074347
                     53,                 1.4549,                0.77798,                 1.0935,                0.79031,                0.47175,                0.55995,                0.31436,                 1.4052,                0.71434,                 1.0553,             0.00073433,             0.00073433,             0.00073433
                     54,                 1.4516,                0.77792,                  1.093,                0.78984,                0.47191,                 0.5599,                0.31417,                 1.4051,                 0.7142,                 1.0551,             0.00072509,             0.00072509,             0.00072509
                     55,                  1.455,                0.77738,                 1.0943,                0.78955,                0.47201,                 0.5601,                0.31411,                 1.4051,                0.71367,                  1.055,             0.00071576,             0.00071576,             0.00071576
                     56,                 1.4474,                0.77583,                 1.0918,                0.78921,                0.47249,                0.56064,                0.31459,                 1.4047,                0.71322,                 1.0549,             0.00070633,             0.00070633,             0.00070633
                     57,                 1.4498,                 0.7785,                 1.0936,                0.78883,                0.47235,                0.56047,                0.31467,                 1.4042,                0.71317,                 1.0549,             0.00069682,             0.00069682,             0.00069682
                     58,                 1.4447,                0.77482,                 1.0911,                0.78906,                0.47232,                0.56072,                0.31493,                 1.4042,                0.71278,                 1.0548,             0.00068722,             0.00068722,             0.00068722
                     59,                 1.4439,                 0.7739,                 1.0926,                0.78816,                0.47291,                0.56084,                0.31515,                  1.404,                0.71262,                 1.0546,             0.00067754,             0.00067754,             0.00067754
                     60,                 1.4491,                0.77617,                 1.0929,                0.78989,                0.47246,                0.56098,                0.31517,                 1.4036,                0.71241,                 1.0544,             0.00066779,             0.00066779,             0.00066779
                     61,                 1.4525,                 0.7785,                 1.0931,                0.78995,                0.47254,                0.56096,                0.31531,                 1.4032,                 0.7125,                 1.0542,             0.00065796,             0.00065796,             0.00065796
                     62,                 1.4424,                0.77367,                 1.0902,                0.79045,                0.47242,                0.56116,                0.31545,                 1.4029,                0.71246,                 1.0541,             0.00064807,             0.00064807,             0.00064807
                     63,                 1.4458,                0.77548,                 1.0914,                0.79097,                0.47269,                0.56136,                0.31556,                 1.4028,                0.71229,                  1.054,             0.00063812,             0.00063812,             0.00063812
                     64,                 1.4451,                0.77324,                 1.0891,                0.79163,                0.47231,                0.56144,                0.31562,                 1.4027,                0.71203,                  1.054,              0.0006281,              0.0006281,              0.0006281
                     65,                 1.4439,                0.77417,                 1.0913,                0.79193,                0.47283,                0.56171,                0.31579,                 1.4024,                0.71182,                 1.0539,             0.00061803,             0.00061803,             0.00061803
                     66,                 1.4433,                0.77301,                 1.0906,                0.79208,                0.47294,                0.56175,                0.31586,                  1.402,                 0.7117,                 1.0538,             0.00060792,             0.00060792,             0.00060792
                     67,                  1.444,                0.77292,                 1.0907,                0.79203,                0.47288,                0.56187,                0.31591,                 1.4018,                0.71148,                 1.0538,             0.00059775,             0.00059775,             0.00059775
                     68,                 1.4431,                0.77319,                 1.0889,                0.79214,                0.47291,                0.56204,                0.31596,                 1.4018,                0.71145,                 1.0537,             0.00058755,             0.00058755,             0.00058755
                     69,                 1.4424,                0.77213,                 1.0889,                0.79356,                0.47209,                0.56194,                0.31595,                 1.4015,                0.71141,                 1.0536,             0.00057731,             0.00057731,             0.00057731
                     70,                 1.4451,                0.77487,                 1.0919,                0.79252,                0.47284,                0.56211,                0.31608,                 1.4014,                0.71118,                 1.0536,             0.00056704,             0.00056704,             0.00056704
                     71,                 1.4422,                0.77148,                 1.0892,                 0.7921,                0.47287,                0.56208,                0.31608,                 1.4012,                0.71123,                 1.0535,             0.00055674,             0.00055674,             0.00055674
                     72,                 1.4426,                 0.7725,                 1.0903,                0.79401,                0.47243,                0.56227,                 0.3162,                  1.401,                0.71109,                 1.0535,             0.00054642,             0.00054642,             0.00054642
                     73,                 1.4398,                0.77015,                 1.0904,                0.79376,                0.47269,                0.56257,                0.31624,                  1.401,                0.71093,                 1.0535,             0.00053608,             0.00053608,             0.00053608
                     74,                 1.4418,                0.77303,                 1.0903,                 0.7939,                0.47277,                 0.5626,                 0.3163,                 1.4009,                 0.7108,                 1.0535,             0.00052573,             0.00052573,             0.00052573
                     75,                 1.4412,                0.77059,                 1.0881,                0.79398,                0.47273,                0.56272,                0.31633,                 1.4009,                0.71061,                 1.0534,             0.00051537,             0.00051537,             0.00051537
                     76,                 1.4435,                0.77446,                 1.0889,                0.79209,                 0.4736,                0.56266,                0.31628,                 1.4006,                0.71057,                 1.0533,               0.000505,               0.000505,               0.000505
                     77,                 1.4372,                0.77062,                 1.0893,                0.79364,                0.47275,                 0.5627,                0.31634,                 1.4006,                0.71044,                 1.0533,             0.00049463,             0.00049463,             0.00049463
                     78,                 1.4408,                0.77048,                 1.0889,                0.79248,                0.47358,                0.56281,                0.31642,                 1.4006,                0.71027,                 1.0533,             0.00048427,             0.00048427,             0.00048427
                     79,                 1.4361,                0.76866,                 1.0877,                0.79238,                0.47372,                0.56287,                 0.3164,                 1.4006,                0.71006,                 1.0532,             0.00047392,             0.00047392,             0.00047392
                     80,                 1.4352,                 0.7693,                 1.0888,                0.79265,                0.47365,                0.56286,                0.31643,                 1.4006,                0.70996,                 1.0533,             0.00046358,             0.00046358,             0.00046358
                     81,                 1.4395,                0.76927,                 1.0878,                0.79248,                0.47359,                0.56286,                0.31647,                 1.4004,                0.70994,                 1.0533,             0.00045326,             0.00045326,             0.00045326
                     82,                  1.434,                 0.7692,                 1.0893,                0.79246,                0.47374,                0.56291,                0.31656,                 1.4004,                0.70982,                 1.0533,             0.00044296,             0.00044296,             0.00044296
                     83,                 1.4386,                0.77054,                  1.089,                0.79423,                0.47306,                0.56301,                0.31661,                 1.4003,                0.70987,                 1.0532,             0.00043269,             0.00043269,             0.00043269
                     84,                  1.438,                0.76889,                 1.0877,                0.79412,                0.47322,                0.56304,                0.31665,                 1.4003,                0.70969,                 1.0532,             0.00042245,             0.00042245,             0.00042245
                     85,                  1.431,                0.76756,                 1.0885,                0.79454,                0.47316,                0.56317,                0.31669,                 1.4003,                0.70958,                 1.0532,             0.00041225,             0.00041225,             0.00041225
                     86,                  1.433,                0.76692,                 1.0871,                0.79462,                 0.4731,                0.56311,                0.31663,                 1.4002,                0.70955,                 1.0531,             0.00040208,             0.00040208,             0.00040208
                     87,                 1.4322,                0.76661,                 1.0863,                0.79473,                0.47303,                0.56303,                0.31662,                 1.4003,                0.70943,                 1.0531,             0.00039197,             0.00039197,             0.00039197
                     88,                 1.4345,                0.76694,                 1.0866,                0.79482,                0.47301,                0.56308,                0.31665,                 1.4001,                0.70935,                 1.0531,              0.0003819,              0.0003819,              0.0003819
                     89,                 1.4336,                0.76592,                 1.0857,                0.79299,                0.47377,                0.56303,                0.31662,                    1.4,                0.70928,                 1.0531,             0.00037188,             0.00037188,             0.00037188
                     90,                 1.4353,                0.76755,                 1.0882,                0.79317,                0.47393,                0.56319,                0.31668,                    1.4,                0.70929,                 1.0531,             0.00036193,             0.00036193,             0.00036193
                     91,                  1.432,                0.76625,                 1.0868,                0.79273,                0.47407,                0.56309,                0.31666,                    1.4,                0.70932,                 1.0531,             0.00035204,             0.00035204,             0.00035204
                     92,                 1.4333,                0.76748,                 1.0868,                0.79286,                0.47394,                0.56305,                0.31665,                 1.3999,                0.70921,                 1.0531,             0.00034221,             0.00034221,             0.00034221
                     93,                 1.4315,                0.76603,                 1.0845,                0.79279,                0.47412,                0.56324,                0.31665,                 1.3999,                 0.7092,                 1.0531,             0.00033246,             0.00033246,             0.00033246
                     94,                 1.4341,                0.76639,                 1.0869,                0.79293,                 0.4742,                0.56328,                0.31669,                 1.3998,                0.70913,                 1.0531,             0.00032278,             0.00032278,             0.00032278
                     95,                 1.4316,                0.76282,                 1.0863,                0.79279,                0.47406,                0.56309,                0.31673,                 1.3997,                0.70907,                 1.0531,             0.00031318,             0.00031318,             0.00031318
                     96,                 1.4303,                 0.7666,                 1.0868,                0.79307,                0.47413,                0.56328,                0.31675,                 1.3996,                0.70899,                  1.053,             0.00030367,             0.00030367,             0.00030367
                     97,                 1.4266,                0.76228,                 1.0849,                0.79296,                 0.4742,                0.56323,                0.31679,                 1.3995,                0.70894,                  1.053,             0.00029424,             0.00029424,             0.00029424
                     98,                 1.4321,                0.76547,                  1.085,                0.79189,                0.47454,                0.56317,                0.31674,                 1.3994,                0.70887,                  1.053,             0.00028491,             0.00028491,             0.00028491
                     99,                 1.4299,                0.76555,                  1.085,                0.79225,                0.47447,                0.56334,                0.31679,                 1.3993,                0.70883,                  1.053,             0.00027567,             0.00027567,             0.00027567
                    100,                 1.4304,                0.76327,                  1.085,                0.79225,                0.47424,                0.56333,                 0.3168,                 1.3993,                0.70886,                  1.053,             0.00026653,             0.00026653,             0.00026653
                    101,                 1.4258,                0.76143,                 1.0837,                0.79239,                0.47436,                0.56339,                0.31681,                 1.3992,                0.70878,                  1.053,              0.0002575,              0.0002575,              0.0002575
                    102,                 1.4273,                0.76226,                 1.0835,                0.79317,                0.47412,                0.56343,                0.31687,                 1.3993,                 0.7088,                 1.0531,             0.00024858,             0.00024858,             0.00024858
                    103,                 1.4312,                0.76123,                  1.084,                0.79216,                0.47456,                0.56337,                0.31689,                 1.3991,                0.70875,                 1.0531,             0.00023977,             0.00023977,             0.00023977
                    104,                 1.4265,                 0.7636,                  1.085,                0.79282,                0.47414,                0.56323,                0.31687,                 1.3992,                0.70871,                  1.053,             0.00023107,             0.00023107,             0.00023107
                    105,                 1.4227,                0.76054,                 1.0832,                0.79283,                0.47415,                0.56324,                 0.3169,                  1.399,                0.70868,                  1.053,              0.0002225,              0.0002225,              0.0002225
                    106,                 1.4273,                 0.7625,                 1.0843,                0.79172,                0.47456,                0.56324,                0.31688,                  1.399,                0.70872,                  1.053,             0.00021405,             0.00021405,             0.00021405
                    107,                 1.4294,                 0.7602,                 1.0829,                 0.7924,                0.47423,                0.56323,                 0.3169,                 1.3989,                 0.7086,                  1.053,             0.00020572,             0.00020572,             0.00020572
                    108,                 1.4285,                 0.7631,                 1.0848,                0.79224,                0.47432,                 0.5632,                0.31687,                 1.3987,                0.70859,                 1.0529,             0.00019753,             0.00019753,             0.00019753
                    109,                 1.4271,                0.76274,                 1.0857,                0.79231,                0.47447,                0.56332,                0.31687,                 1.3988,                0.70852,                  1.053,             0.00018948,             0.00018948,             0.00018948
                    110,                  1.427,                0.76084,                 1.0824,                0.79168,                0.47451,                0.56323,                0.31688,                 1.3987,                0.70849,                 1.0529,             0.00018156,             0.00018156,             0.00018156
                    111,                 1.4259,                0.76158,                  1.085,                0.79326,                0.47389,                0.56334,                0.31688,                 1.3987,                0.70854,                  1.053,             0.00017378,             0.00017378,             0.00017378
                    112,                  1.426,                0.76144,                 1.0856,                0.79295,                0.47425,                 0.5634,                0.31688,                 1.3986,                0.70853,                  1.053,             0.00016615,             0.00016615,             0.00016615
                    113,                 1.4257,                0.75964,                 1.0838,                0.79362,                0.47382,                 0.5634,                0.31689,                 1.3987,                0.70855,                  1.053,             0.00015867,             0.00015867,             0.00015867
                    114,                  1.425,                0.76293,                 1.0843,                0.79332,                0.47383,                0.56339,                0.31686,                 1.3986,                0.70859,                  1.053,             0.00015134,             0.00015134,             0.00015134
                    115,                 1.4213,                0.75907,                 1.0841,                0.79264,                 0.4742,                0.56346,                0.31689,                 1.3985,                0.70858,                  1.053,             0.00014416,             0.00014416,             0.00014416
                    116,                 1.4223,                0.75944,                  1.084,                0.79319,                0.47384,                0.56326,                0.31688,                 1.3984,                0.70851,                  1.053,             0.00013714,             0.00013714,             0.00013714
                    117,                 1.4279,                0.76131,                  1.085,                0.79323,                0.47384,                0.56326,                0.31688,                 1.3983,                0.70854,                  1.053,             0.00013029,             0.00013029,             0.00013029
                    118,                 1.4238,                   0.76,                 1.0847,                0.79305,                0.47401,                0.56329,                0.31691,                 1.3983,                0.70851,                  1.053,              0.0001236,              0.0001236,              0.0001236
                    119,                 1.4262,                0.76114,                 1.0831,                0.79285,                0.47403,                0.56337,                0.31693,                 1.3983,                 0.7085,                  1.053,             0.00011707,             0.00011707,             0.00011707
                    120,                 1.4188,                0.75908,                 1.0823,                 0.7927,                0.47399,                0.56336,                0.31691,                 1.3983,                0.70855,                  1.053,             0.00011072,             0.00011072,             0.00011072
                    121,                 1.4166,                0.75721,                 1.0826,                 0.7929,                0.47405,                0.56341,                0.31696,                 1.3983,                0.70843,                  1.053,             0.00010454,             0.00010454,             0.00010454
                    122,                 1.4286,                0.76293,                 1.0831,                0.79288,                0.47394,                0.56336,                0.31698,                 1.3983,                0.70837,                  1.053,             9.8531e-05,             9.8531e-05,             9.8531e-05
                    123,                 1.4204,                0.75833,                 1.0822,                0.79299,                0.47406,                0.56345,                0.31694,                 1.3983,                0.70841,                  1.053,             9.2704e-05,             9.2704e-05,             9.2704e-05
                    124,                 1.4178,                0.75643,                 1.0818,                0.79295,                0.47396,                0.56344,                0.31693,                 1.3983,                0.70832,                  1.053,             8.7058e-05,             8.7058e-05,             8.7058e-05
                    125,                 1.4241,                0.75846,                 1.0812,                 0.7925,                0.47396,                0.56335,                0.31689,                 1.3982,                0.70834,                 1.0529,             8.1595e-05,             8.1595e-05,             8.1595e-05
                    126,                 1.4198,                0.75846,                 1.0837,                0.79259,                0.47404,                0.56333,                0.31692,                 1.3981,                0.70831,                 1.0529,             7.6317e-05,             7.6317e-05,             7.6317e-05
                    127,                 1.4153,                0.75553,                 1.0801,                0.79263,                0.47392,                0.56334,                0.31688,                 1.3981,                0.70829,                  1.053,             7.1228e-05,             7.1228e-05,             7.1228e-05
                    128,                 1.4146,                0.75733,                 1.0811,                0.79263,                0.47406,                0.56338,                0.31692,                 1.3982,                0.70827,                  1.053,             6.6329e-05,             6.6329e-05,             6.6329e-05
                    129,                 1.4251,                0.76102,                 1.0825,                0.79289,                0.47394,                0.56333,                0.31696,                 1.3981,                0.70824,                  1.053,             6.1623e-05,             6.1623e-05,             6.1623e-05
                    130,                 1.4178,                0.75641,                  1.081,                0.79292,                0.47389,                0.56326,                0.31693,                 1.3982,                0.70827,                  1.053,             5.7111e-05,             5.7111e-05,             5.7111e-05
                    131,                 1.4223,                0.75712,                 1.0825,                0.79278,                0.47389,                0.56329,                0.31695,                 1.3981,                0.70823,                  1.053,             5.2795e-05,             5.2795e-05,             5.2795e-05
                    132,                 1.4207,                 0.7584,                 1.0824,                0.79284,                 0.4739,                0.56331,                0.31695,                  1.398,                0.70815,                 1.0529,             4.8678e-05,             4.8678e-05,             4.8678e-05
                    133,                 1.4205,                0.75897,                 1.0831,                0.79316,                0.47398,                0.56336,                0.31702,                 1.3979,                0.70809,                 1.0529,             4.4761e-05,             4.4761e-05,             4.4761e-05
                    134,                 1.4183,                0.75728,                 1.0833,                0.79282,                0.47417,                0.56337,                0.31695,                 1.3979,                0.70814,                 1.0529,             4.1045e-05,             4.1045e-05,             4.1045e-05
                    135,                 1.4199,                0.75782,                 1.0815,                0.79293,                0.47404,                0.56334,                0.31694,                 1.3978,                0.70804,                 1.0529,             3.7534e-05,             3.7534e-05,             3.7534e-05
                    136,                 1.4264,                0.75996,                 1.0834,                0.79324,                0.47404,                0.56341,                0.31698,                 1.3978,                0.70806,                 1.0529,             3.4227e-05,             3.4227e-05,             3.4227e-05
                    137,                 1.4186,                0.75689,                 1.0818,                 0.7926,                0.47428,                0.56342,                0.31701,                 1.3977,                0.70803,                 1.0529,             3.1127e-05,             3.1127e-05,             3.1127e-05
                    138,                 1.4209,                0.75654,                 1.0816,                0.79269,                0.47436,                0.56356,                  0.317,                 1.3978,                0.70805,                 1.0528,             2.8235e-05,             2.8235e-05,             2.8235e-05
                    139,                 1.4216,                0.75899,                 1.0832,                0.79272,                0.47437,                 0.5635,                0.31699,                 1.3977,                0.70807,                 1.0528,             2.5551e-05,             2.5551e-05,             2.5551e-05
                    140,                 1.4191,                0.75579,                 1.0811,                0.79281,                0.47434,                0.56352,                  0.317,                 1.3977,                0.70805,                 1.0528,             2.3078e-05,             2.3078e-05,             2.3078e-05
                    141,                  1.381,                0.71259,                 1.0619,                0.79304,                0.47426,                0.56345,                0.31694,                 1.3976,                0.70812,                 1.0528,             2.0817e-05,             2.0817e-05,             2.0817e-05
                    142,                 1.3763,                0.70799,                 1.0608,                0.79164,                0.47488,                0.56342,                0.31698,                 1.3976,                 0.7079,                 1.0528,             1.8768e-05,             1.8768e-05,             1.8768e-05
                    143,                 1.3762,                0.70743,                 1.0608,                0.79123,                0.47504,                0.56348,                0.31697,                 1.3977,                 0.7078,                 1.0528,             1.6932e-05,             1.6932e-05,             1.6932e-05
                    144,                 1.3751,                0.70659,                 1.0602,                0.79166,                0.47493,                0.56356,                0.31697,                 1.3976,                0.70777,                 1.0528,              1.531e-05,              1.531e-05,              1.531e-05
                    145,                 1.3765,                0.70544,                 1.0592,                0.79193,                0.47461,                0.56346,                0.31693,                 1.3976,                0.70771,                 1.0529,             1.3903e-05,             1.3903e-05,             1.3903e-05
                    146,                 1.3714,                0.70522,                 1.0603,                 0.7922,                0.47434,                0.56344,                0.31689,                 1.3976,                0.70767,                 1.0529,             1.2712e-05,             1.2712e-05,             1.2712e-05
                    147,                 1.3737,                0.70478,                  1.061,                0.79156,                0.47455,                0.56341,                0.31691,                 1.3975,                0.70758,                 1.0529,             1.1736e-05,             1.1736e-05,             1.1736e-05
                    148,                 1.3745,                0.70515,                 1.0602,                0.79194,                0.47439,                0.56339,                0.31686,                 1.3975,                0.70747,                 1.0529,             1.0977e-05,             1.0977e-05,             1.0977e-05
                    149,                 1.3742,                0.70538,                 1.0601,                0.79105,                0.47477,                0.56337,                 0.3168,                 1.3976,                0.70741,                 1.0529,             1.0434e-05,             1.0434e-05,             1.0434e-05
                    150,                 1.3742,                 0.7044,                 1.0592,                0.79113,                 0.4747,                 0.5633,                0.31679,                 1.3977,                0.70743,                 1.0529,             1.0109e-05,             1.0109e-05,             1.0109e-05
